Time	Sender Mood	Receiver Mood
		
0	1	1
0	2	1
1	4	4
2	0	2
7	0	2
8	3	3
8	3	3
9	0	2
9	3	3
9	3	3
9	3	0
9	2	3
10	0	2
11	3	1
11	3	1
11	3	3
11	3	1
11	3	1
11	1	0
12	1	3
12	1	3
12	1	1
12	1	3
12	1	1
12	1	3
12	1	3
12	1	1
12	1	3
12	1	1
12	1	1
13	1	1
13	1	3
13	1	1
13	3	0
13	1	1
13	3	3
13	2	1
19	2	1
19	2	3
19	3	1
19	2	3
19	3	3
20	3	3
20	3	3
22	0	1
22	2	3
22	2	1
22	3	3
